id;cep;logradouro;bairro;complemento
1;ability ;magenta Concrete;User-centric Gloves;Mauritania
2;facilita;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
3;Canadian;Berkshire Designer;Credit Card Account;navigate
4;Re-conte;web-enabled invoice withdrawal;bypassing optical;installation
5;Argentin;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages
6;disinter;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
7;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical
8;bypassin;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
9;Ports Ma;Networked;Fish;payment calculating
10;local ar;turn-key dedicated;Wisconsin;target Human withdrawal
